month,high,low
Jan,58,43
Feb,60,45
Mar,63,47
Apr,65,50
May,67,53
Jun,70,55
Jul,71,57
Aug,72,57
Sep,74,56
Oct,71,52
Nov,64,47
Dec,58,43
